co,no,no2,o3,so2,pm2_5,pm10,nh3,pm2_5_7day_avg,extreme_pm2_5,hazardous_pm25,hazardous_day,above_threshold,consecutive_breach_days,severity_zone,severity_score,lung_stress_score,breach,cumulative_pm25_burden
2971.5660869565218,14.88,93.54913043478261,26.791304347826088,82.43086956521739,342.3017391304348,405.03782608695656,26.72043478260869,342.3017391304348,True,True,True,True,1,Severe Injury Risk,3,13.346034782608696,True,342.3017391304348
2314.806666666667,24.443749999999998,65.41875,20.753333333333334,65.15833333333333,180.7541666666667,226.00125,21.993750000000002,261.5279528985507,True,True,True,True,2,Severe Injury Risk,3,12.230559057971014,True,523.0559057971014
1592.1595833333333,4.934166666666667,56.221666666666664,43.925000000000004,41.485,115.90166666666666,143.95250000000001,20.28,212.9858574879227,True,True,True,True,3,High Stress,2,9.759717149758455,True,638.9575724637681
2461.1158333333333,11.879583333333334,70.04666666666667,50.3725,41.51541666666667,197.88916666666668,234.86125,23.145,209.2116847826087,True,True,True,True,4,Severe Injury Risk,3,12.184233695652175,True,836.8467391304348
4516.680416666667,65.71958333333333,93.94958333333334,34.69625,77.78541666666668,329.38166666666666,404.0495833333334,47.23374999999999,233.2456811594203,True,True,True,True,5,Severe Injury Risk,3,13.164913623188406,True,1166.2284057971015
5575.339166666668,79.19833333333334,105.43124999999999,34.78333333333333,71.42666666666666,416.22499999999997,511.88625,40.52125,263.7422342995169,True,True,True,True,6,Severe Injury Risk,3,14.274844685990338,True,1582.4534057971014
5889.097083333334,67.74416666666666,115.98416666666667,41.01,73.02583333333334,526.0591666666667,624.7825,35.15958333333334,301.21608178053833,True,True,True,True,7,Severe Injury Risk,3,15.524321635610766,True,2108.5125724637683
3056.9245833333334,13.350416666666668,78.55624999999999,56.57541666666666,50.2475,322.97833333333335,368.53416666666664,22.32875,298.4555952380952,True,True,True,True,8,Severe Injury Risk,3,15.969111904761904,True,2431.4909057971017
6677.94625,86.21583333333332,127.06625000000001,27.1525,112.22625,642.61125,757.0179166666667,46.89666666666667,364.43517857142854,True,True,True,True,9,Severe Injury Risk,3,17.78870357142857,True,3074.1021557971017
4385.3925,31.80458333333333,110.72125,71.09333333333333,83.20958333333333,537.8774999999999,601.24375,26.835416666666664,424.71744047619046,True,True,True,True,10,Severe Injury Risk,3,19.494348809523807,True,3611.9796557971017
2272.5258333333336,3.0966666666666662,68.75958333333334,76.62041666666667,50.665,358.0779166666666,392.4216666666667,16.786666666666665,447.6015476190476,True,True,True,True,11,Severe Injury Risk,3,20.45203095238095,True,3970.0575724637683
3164.8483333333334,10.743749999999999,91.08041666666666,46.68,58.373333333333335,447.5420833333333,501.84999999999997,19.2875,464.4816071428571,True,True,True,True,12,Severe Injury Risk,3,21.289632142857144,True,4417.599655797102
4750.331666666666,54.669999999999995,93.30624999999999,35.44541666666667,60.66708333333333,509.4604166666666,590.4470833333334,27.735833333333332,477.80095238095237,True,True,True,True,13,Severe Injury Risk,3,22.056019047619046,True,4927.060072463769
8663.9725,134.83041666666665,145.20166666666668,29.20958333333333,146.33916666666667,766.2054166666667,903.9929166666667,76.155,512.1075595238095,True,True,True,True,14,Severe Injury Risk,3,23.242151190476193,True,5693.2654891304355
7886.25125,129.28208333333333,132.63666666666668,31.59166666666667,124.15625,673.64125,811.5429166666667,59.19833333333333,562.2022619047618,True,True,True,True,15,Severe Injury Risk,3,24.744045238095236,True,6366.906739130435
5297.184583333334,97.84541666666667,86.31083333333333,13.356666666666667,84.37208333333334,368.01666666666665,471.9058333333333,40.6325,522.9744642857142,True,True,True,True,16,Severe Injury Risk,3,24.459489285714284,True,6734.923405797102
3812.949583333333,72.62833333333333,84.59625,9.288333333333334,88.89041666666667,277.78249999999997,336.34791666666666,31.6375,485.81803571428566,True,True,True,True,17,Severe Injury Risk,3,24.216360714285713,True,7012.705905797102
4416.545833333334,81.46,80.53958333333334,10.455416666666666,89.84416666666668,322.25,398.96166666666664,41.76916666666667,480.6997619047619,True,True,True,True,18,Severe Injury Risk,3,24.613995238095235,True,7334.955905797102
1484.5133333333333,3.29125,45.5975,48.030833333333334,34.66041666666667,124.09708333333333,147.04541666666668,16.579583333333332,434.49333333333334,True,True,True,True,19,High Stress,2,22.189866666666667,True,7459.052989130435
4335.324583333334,69.07333333333334,76.65625,30.214166666666667,61.71083333333333,300.51375,383.7054166666667,30.57375,404.6438095238096,True,True,True,True,20,Severe Injury Risk,3,24.09287619047619,True,7759.566739130435
3352.88125,41.67666666666667,77.97041666666667,33.020833333333336,64.07541666666667,255.07333333333335,316.36041666666665,26.55666666666667,331.62494047619055,True,True,True,True,21,Severe Injury Risk,3,23.13249880952381,True,8014.640072463769
1800.2195833333333,8.044583333333334,57.23500000000001,48.665,46.223749999999995,145.77291666666667,177.9425,20.417083333333334,256.21517857142857,True,True,True,True,22,High Stress,2,20.12430357142857,True,8160.412989130436
1418.0349999999999,1.8070833333333332,47.30291666666667,67.02624999999999,40.12291666666667,117.86958333333332,140.41958333333335,19.533333333333335,220.47988095238097,True,True,True,True,23,High Stress,2,19.90959761904762,True,8278.28257246377
1609.9616666666668,4.5304166666666665,56.15,48.39291666666667,42.25958333333333,124.53291666666667,149.93916666666667,25.400833333333335,198.58708333333334,True,True,True,True,24,High Stress,2,19.971741666666667,True,8402.815489130437
1401.3458333333335,2.41125,44.397083333333335,60.126666666666665,34.26291666666666,125.01875,146.34416666666667,19.765833333333333,170.41119047619048,True,True,True,True,25,High Stress,2,19.90822380952381,True,8527.834239130436
1641.6716666666669,2.46125,50.365833333333335,54.08583333333333,33.35875,158.91416666666666,183.1833333333333,18.64625,175.38505952380953,True,True,True,True,26,Severe Injury Risk,3,22.50770119047619,True,8686.748405797103
5498.567916666667,102.37083333333334,85.51041666666667,22.609583333333333,83.33749999999999,457.58708333333334,552.8933333333333,43.76666666666667,197.82410714285714,True,True,True,True,27,Severe Injury Risk,3,23.456482142857144,True,9144.335489130437
8123.239166666666,149.7875,109.64458333333334,25.541666666666668,88.27541666666667,684.9125,804.1620833333333,45.449999999999996,259.2297023809524,True,True,True,True,28,Severe Injury Risk,3,25.184594047619047,True,9829.247989130437
7598.083750000001,123.09583333333335,121.58333333333333,26.729583333333334,91.65249999999999,704.0933333333332,831.8129166666668,40.72708333333333,338.9897619047619,True,True,True,True,29,Severe Injury Risk,3,27.27979523809524,True,10533.34132246377
4365.921666666666,52.940416666666664,86.6675,32.187916666666666,59.09916666666667,390.00083333333333,467.19458333333336,25.705,377.8656547619048,True,True,True,True,30,Severe Injury Risk,3,28.557313095238097,True,10923.342155797103
3745.0791666666664,38.124583333333334,79.19916666666667,31.322916666666668,50.32666666666666,336.68625000000003,399.14375,22.665000000000003,408.1732738095238,True,True,True,True,31,Severe Injury Risk,3,29.663465476190474,True,11260.028405797104
5130.8475,74.64333333333333,81.34041666666667,27.622083333333332,53.177083333333336,441.10999999999996,513.0908333333333,28.987083333333334,453.3291666666667,True,True,True,True,32,Severe Injury Risk,3,31.066583333333334,True,11701.138405797104
