month,day,day_of_week,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll7,pm2_5_roll14,pm2_5_std7,pm2_5
11,27,4,93.87,77.66,71.17,82.22142857142858,133.32,11.018834524835464,100.66
11,27,4,100.66,93.87,77.66,85.0657142857143,126.15785714285714,13.295638203489414,101.94
11,27,4,101.94,100.66,93.87,88.69571428571429,116.73642857142856,14.184635886694007,102.47
11,27,4,102.47,101.94,100.66,91.99714285714286,106.07285714285715,12.54435824622034,96.21
11,27,4,96.21,102.47,101.94,91.12142857142855,94.30642857142857,14.327799817803148,65.04
11,27,4,65.04,96.21,102.47,88.62857142857142,86.12357142857142,18.085542502757274,60.21
11,27,4,60.21,65.04,96.21,84.74142857142856,82.72071428571428,19.629473951663595,66.66
11,27,4,66.66,60.21,65.04,82.47571428571429,82.34857142857143,18.360127865515725,84.8
11,27,4,84.8,66.66,60.21,83.03,84.04785714285715,19.089754669280723,105.82
11,27,4,105.82,84.8,66.66,85.27857142857142,86.98714285714287,22.401036753218357,118.21
11,27,4,118.21,105.82,84.8,90.90857142857143,91.45285714285714,29.449741610961098,135.62
11,27,4,135.62,118.21,105.82,103.6842857142857,97.40285714285713,35.1948475666267,154.47
11,27,4,154.47,135.62,118.21,118.42857142857143,103.52857142857144,35.56367080255321,163.42
11,27,4,163.42,154.47,135.62,133.07,108.90571428571427,31.57194535237461,169.15
11,27,4,169.15,163.42,154.47,146.56714285714287,114.52142857142857,27.419237598375815,179.28
11,27,4,179.28,169.15,163.42,156.41714285714286,119.72357142857143,22.236612237693038,174.77
11,27,4,174.77,179.28,169.15,161.02142857142857,123.14999999999999,15.244375387413452,150.44
11,27,4,150.44,174.77,179.28,160.64142857142858,125.77499999999999,15.997636730229155,132.96
11,27,4,132.96,150.44,174.77,156.5885714285714,130.13642857142855,20.71871330349394,126.1
11,27,4,126.1,132.96,150.44,151.00428571428571,134.71642857142857,23.633478272105666,124.33
11,27,4,124.33,126.1,132.96,144.8942857142857,138.98214285714286,23.688997345562985,126.38
11,28,5,126.38,124.33,126.1,138.84857142857143,142.70785714285714,18.219643637725426,136.96
11,28,5,136.96,126.38,124.33,136.48285714285717,146.45000000000002,13.14706648430939,158.21
